Albertus Magnus,2798,2014-15,Kelvin Jones,0-0,.000,""
Albertus Magnus,2798,2013-14,Omar Ramirez,11-12,.478,""
Albertus Magnus,2798,2012-13,Omar Ramirez,10-15,.400,""
Albertus Magnus,2798,2011-12,Omar Ramirez,19-10,.655,""
Albertus Magnus,2798,2010-11,Omar Ramirez,1-19,.050,""
Albertus Magnus,2798,2009-10,Steve Wydra,0-19,.000,""
Albertus Magnus,2798,2008-09,Steve Wydra,2-15,.118,First Season of Competition
Alderson Broaddus,934,2014-15,Greg Walker,0-0,.000,""
Ball St.,47,2014-15,Joel Walton,0-0,.000,""
Ball St.,47,2013-14,Joel Walton,22-8,.733,""
Ball St.,47,2012-13,Joel Walton,21-6,.778,""
Ball St.,47,2011-12,Joel Walton,14-12,.538,""
Ball St.,47,2010-11,Joel Walton,19-11,.633,""
Ball St.,47,2009-10,Joel Walton,19-11,.633,""
Ball St.,47,2008-09,Joel Walton,18-10,.643,""
Ball St.,47,2007-08,Joel Walton,21-10,.677,""
Ball St.,47,2006-07,Joel Walton,18-12,.600,""
Ball St.,47,2005-06,Joel Walton,21-7,.750,""
Ball St.,47,2004-05,Joel Walton,17-15,.531,""
Ball St.,47,2003-04,Joel Walton,22-9,.710,""
Ball St.,47,2002-03,Joel Walton,21-7,.750,""
Ball St.,47,2001-02,Joel Walton,24-7,.774,""
Ball St.,47,2000-01,Joel Walton,20-8,.714,""
Ball St.,47,1999-00,Joel Walton,16-15,.516,""
Ball St.,47,1998-99,Joel Walton,13-14,.481,""
Ball St.,47,1997-98,Don Shondell,10-18,.357,""
Ball St.,47,1996-97,Don Shondell,27-8,.771,""
Ball St.,47,1995-96,Don Shondell,28-7,.800,""
Ball St.,47,1994-95,Don Shondell,25-9,.735,""
Ball St.,47,1993-94,Don Shondell,28-10,.737,""
Ball St.,47,1992-93,Don Shondell,17-11,.607,""
Ball St.,47,1991-92,Don Shondell,11-13,.458,""
Ball St.,47,1990-91,Don Shondell,16-20,.444,""
Ball St.,47,1989-90,Don Shondell,28-11,.718,""
Ball St.,47,1988-89,Don Shondell,17-14,.548,""
Ball St.,47,1987-88,Don Shondell,19-9,.679,""
Ball St.,47,1986-87,Don Shondell,23-13,.639,""
Ball St.,47,1985-86,Don Shondell,21-15,.583,""
Ball St.,47,1984-85,Don Shondell,22-13,.629,""
Ball St.,47,1983-84,Don Shondell,26-11,.703,""
Ball St.,47,1982-83,Don Shondell,31-8,.795,""
Ball St.,47,1981-82,Don Shondell,35-6,.854,""
Ball St.,47,1980-81,Don Shondell,22-9,.710,""
Ball St.,47,1979-80,Don Shondell,24-6,.800,""
