 game_id | period_id | event_id |   time   |    team_player     |       team_event        |                 team_text                  | team_score | opponent_score | socre  |  opponent_player   |     opponent_event      |            opponent_text             | game_id | period_id | event_id |   time   |    team_player    |       team_event        |                 team_text                 | team_score | opponent_score | socre  |  opponent_player  |      opponent_event       |              opponent_text              
---------+-----------+----------+----------+--------------------+-------------------------+--------------------------------------------+------------+----------------+--------+--------------------+-------------------------+--------------------------------------+---------+-----------+----------+----------+-------------------+-------------------------+-------------------------------------------+------------+----------------+--------+-------------------+---------------------------+-----------------------------------------
 3506245 |         0 |      259 | 00:05:00 |                    |                         |                                            |         24 |             35 | 24-35  | TERRY,MIKAYLA      | Commits Foul            | TERRY,MIKAYLA Commits Foul           | 3506245 |         0 |      260 | 00:07:00 | TEAM              | 30 Second Timeout       | TEAM 30 Second Timeout                    |         24 |             35 | 24-35  |                   |                           | 
 3506585 |         1 |      270 | 00:00:00 | ALLEN,KATY         | Leaves Game             | ALLEN,KATY Leaves Game                     |         25 |             47 | 25-47  |                    |                         |                                      | 3506585 |         1 |      271 | 20:00:00 |                   |                         |                                           |         25 |             47 | 25-47  | JONES,JASMINE     | Leaves Game               | JONES,JASMINE Leaves Game
 3506600 |         0 |        6 | 19:03:00 | CLARK,SERENA       | Commits Foul            | CLARK,SERENA Commits Foul                  |          0 |              0 | 0-0    |                    |                         |                                      | 3506600 |         0 |        7 | 19:08:00 |                   |                         |                                           |          0 |              1 | 0-1    | WEAVER,KJ         | made Free Throw           | WEAVER,KJ made Free Throw
 3509867 |         0 |      203 | 05:03:00 |                    |                         |                                            |         27 |             31 | 27-31  | LOGIC,SAMANTHA     | Defensive Rebound       | LOGIC,SAMANTHA Defensive Rebound     | 3509867 |         0 |      204 | 05:18:00 |                   |                         |                                           |         27 |             31 | 27-31  | DIXON,MELISSA     | missed Three Point Jumper | DIXON,MELISSA missed Three Point Jumper
 3509867 |         0 |      220 | 04:37:00 |                    |                         |                                            |         27 |             31 | 27-31  | TEAM               | Deadball Rebound        | TEAM Deadball Rebound                | 3509867 |         0 |      221 | 04:39:00 |                   |                         |                                           |         27 |             32 | 27-32  | PESCHEL,KALI      | made Free Throw           | PESCHEL,KALI made Free Throw
 3510682 |         0 |      194 | 00:19:00 | TEAM               | 30 Second Timeout       | TEAM 30 Second Timeout                     |         22 |             34 | 22-34  |                    |                         |                                      | 3510682 |         0 |      195 | 01:09:00 |                   |                         |                                           |         22 |             34 | 22-34  | CURRAN,SARAH      | Commits Foul              | CURRAN,SARAH Commits Foul
 3510946 |         1 |      260 | 00:00:00 |                    |                         |                                            |         26 |             49 | 26-49  | BROWN,BRITTANY     | Leaves Game             | BROWN,BRITTANY Leaves Game           | 3510946 |         1 |      261 | 19:44:00 |                   |                         |                                           |         26 |             49 | 26-49  | BULGAK,ADUT       | Turnover                  | BULGAK,ADUT Turnover
 3511057 |         0 |      270 | 00:04:00 |                    |                         |                                            |         13 |             29 | 13-29  | LISTER,CINNAMON    | Commits Foul            | LISTER,CINNAMON Commits Foul         | 3511057 |         0 |      271 | 00:12:00 | WILSON,KARLEE     | missed Free Throw       | WILSON,KARLEE missed Free Throw           |         13 |             29 | 13-29  |                   |                           | 
 3511666 |         1 |      531 | 00:13:00 | RICHARDSON-SMITH,T | made Three Point Jumper | RICHARDSON-SMITH,T made Three Point Jumper |         85 |             87 | 85-87  |                    |                         |                                      | 3511666 |         1 |      532 | 00:17:00 | MOSLEY,JORDAN     | Commits Foul            | MOSLEY,JORDAN Commits Foul                |         85 |             87 | 85-87  |                   |                           | 
