year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	height	class_year	games_played	games_started
2015	12100	275	Harvard	4	1527047.0	Bendell, Nick	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1527047.0	6-2	So	53	0
2015	12100	275	Harvard	14	1418154.0	Bent, Alister	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1418154.0	5-7	Jr	2	0
2015	12100	275	Harvard	11	1418155.0	Clemens, Branden	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1418155.0	6-6	Jr	95	0
2015	12100	275	Harvard	3	1637715.0	Gretsch, Brad	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1637715.0	6-6	Fr	71	0
2015	12100	275	Harvard	12		Heavey, Jack		6-6	Fr	0	0
2015	12100	275	Harvard	2	1637717.0	Kostich, Marko	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1637717.0	6-4	Fr	75	0
2015	12100	275	Harvard	9	1637718.0	Moore, Riley	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1637718.0	6-5	Fr	60	0
2015	12100	275	Harvard	6	1527048.0	Murphy, Samuel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1527048.0	5-9	So	39	0
2015	12100	275	Harvard	7	1418156.0	Schlossman, Alec	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1418156.0	6-3	Jr	83	0
2015	12100	275	Harvard	1	1306233.0	White, Dj	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1306233.0	6-5	Sr	93	0
2015	12100	275	Harvard	5	1527049.0	White, Casey	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1527049.0	6-4	So	91	0
2015	12100	275	Harvard	10	1306234.0	Zimmick, Caleb	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1306234.0	6-9	Sr	86	0
2015	12100	541	Pepperdine	18	1526180.0	Anderson, Brennan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1526180.0	6-2	Sr	111	0
2015	12100	541	Pepperdine	3	1300541.0	Antonijevic, Nikola	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1300541.0	6-7	Sr	64	0
2015	12100	541	Pepperdine	9	1637538.0	Carr, Clay	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1637538.0	6-6	Fr	0	0
2015	12100	541	Pepperdine	8	1526177.0	Dion-Kindem, Soren	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1526177.0	6-2	So	3	0
2015	12100	541	Pepperdine	11	1526178.0	Gehrels, James	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1526178.0	6-4	So	10	0
2015	12100	541	Pepperdine	6	1637540.0	Harriman, Colby	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1637540.0	6-4	Fr	5	0
2015	12100	541	Pepperdine	13	1191478.0	Kalmbach, Parker	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1191478.0	6-7	Sr	105	0
2015	12100	541	Pepperdine	12	1526179.0	McCallister, Chad	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1526179.0	6-0	So	1	0
2015	12100	541	Pepperdine	4	1417646.0	Mosolf, J.J.	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1417646.0	6-6	Jr	14	0
2015	12100	541	Pepperdine	2	1534266.0	Penning, Mitchell	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1534266.0	6-7	So	97	0
2015	12100	541	Pepperdine	10	1300539.0	Rhein, Scott	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1300539.0	6-4	Sr	112	0
2015	12100	541	Pepperdine	16	1534267.0	States, Max	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1534267.0	6-1	So	69	0
2015	12100	541	Pepperdine	17	1637541.0	Stewart, Joshua	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1637541.0	6-4	So	51	0
2015	12100	541	Pepperdine	7	1417644.0	Suppes, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1417644.0	6-7	Jr	0	0
2015	12100	541	Pepperdine	5	1300538.0	Tarantino, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1300538.0	6-8	Sr	91	0
2015	12100	541	Pepperdine	14	1300542.0	Taylor, Josh	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1300542.0	6-7	Sr	110	0
2015	12100	541	Pepperdine	1	1300537.0	West, Matt	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1300537.0	6-5	Sr	109	0
2015	12100	541	Pepperdine	19		Wieczorek, David		6-7	Fr	0	0
2015	12100	77	BYU	3	1417607.0	Chang, Evan	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1417607.0	6-0	Jr	3	0
2015	12100	77	BYU	16	1527703.0	Dobbert, Tim	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1527703.0	6-10	So	20	0
2015	12100	77	BYU	4	1640863.0	Durkin, Leo	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1640863.0	6-4	Fr	4	0
2015	12100	77	BYU	7	1303548.0	Fuchs, Phil	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1303548.0	6-4	Sr	45	0
2015	12100	77	BYU	22		Gibb, Chandler		6-1	Fr	0	0
2015	12100	77	BYU	17	1417608.0	Grosh, Joseph	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1417608.0	6-7	So	84	0
2015	12100	77	BYU	23	1417609.0	Hatch, Michael	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1417609.0	6-8	Jr	96	0
2015	12100	77	BYU	9	1417610.0	Heap, Tyler	http://stats.ncaa.org/player?game_sport_year_ctl_id=12100&stats_player_seq=1417610.0	6-6	Jr	48	0
