year	year_id	team_id	team_name	jersey_number	summary_type	class_year	height	games_played	games_started	s	ms	kills	errors	total_attacks	pct	assists	aces	serr	diggs	rerr	block_solos	block_assists	berr	pts	bhe	tripl_dbl
2015	12100	77	BYU	-	Totals	-	-	-	-	84	 	1,024	362	2,396	0.276	972	57	235	816	101	29	438	36	1,329.0	9	22
2015	12100	77	BYU	-	Opponent Totals	-	-	-	-	84	 	1,103	484	2,622	0.236	1,061	101	330	863	57	30	248	59	1,358.0	9	22
2015	12100	47	Ball St.	-	Totals	-	-	-	-	87	 	1,012	426	2,412	0.243	948	93	307	791	111	43	409	39	1,352.5	13	25
2015	12100	47	Ball St.	-	Opponent Totals	-	-	-	-	87	 	1,061	509	2,536	0.218	989	111	286	827	93	51	306	27	1,376.0	12	25
2015	12100	15646	Barton	-	Totals	-	-	-	-	104	 	1,191	583	2,897	0.210	1,117	108	336	930	147	38	366	38	1,520.0	7	26
2015	12100	15646	Barton	-	Opponent Totals	-	-	-	-	104	 	1,170	545	2,838	0.220	1,088	147	332	891	108	74	387	58	1,584.5	18	25
2015	12100	2683	Belmont Abbey	-	Totals	-	-	-	-	85	 	927	395	2,252	0.236	832	86	280	726	100	96	229	41	1,223.5	9	22
2015	12100	2683	Belmont Abbey	-	Opponent Totals	-	-	-	-	85	 	1,032	528	2,469	0.204	980	100	326	793	86	66	135	47	1,265.5	2	22
2015	12100	101	CSUN	-	Totals	-	-	-	-	89	 	995	448	2,414	0.227	920	91	376	693	114	56	359	33	1,321.5	4	23
2015	12100	101	CSUN	-	Opponent Totals	-	-	-	-	89	 	1,027	475	2,350	0.235	965	114	350	799	91	24	428	33	1,379.0	4	23
2015	12100	30135	California Baptist	-	Totals	-	-	-	-	86	 	913	469	2,147	0.207	852	103	341	631	122	25	342	29	1,212.0	7	24
2015	12100	30135	California Baptist	-	Opponent Totals	-	-	-	-	86	 	936	389	2,124	0.258	879	122	342	605	103	43	390	26	1,296.0	10	23
2015	12100	1013	Charleston (WV)	-	Totals	-	-	-	-	69	 	629	443	1,855	0.100	608	92	318	537	110	40	130	33	826.0	17	21
2015	12100	1013	Charleston (WV)	-	Opponent Totals	-	-	-	-	69	 	736	299	1,686	0.259	698	110	252	667	93	55	176	34	989.0	13	21
2015	12100	1023	Coker	-	Totals	-	-	-	-	82	 	850	446	2,065	0.196	795	137	287	628	125	54	235	41	1,158.5	29	21
2015	12100	1023	Coker	-	Opponent Totals	-	-	-	-	82	 	906	412	2,073	0.238	832	125	299	661	137	47	199	41	1,177.5	17	23
2015	12100	30193	Emmanuel (GA)	-	Totals	-	-	-	-	65	 	719	382	1,875	0.180	658	60	210	641	107	42	176	53	909.0	46	19
2015	12100	30193	Emmanuel (GA)	-	Opponent Totals	-	-	-	-	65	 	816	371	1,945	4.446	759	107	222	650	60	53	178	45	1,065.0	22	19
