game_id	section_id	player_id	player_name	player_url	position	minutes_played	field_goals_made	field_goals_attempted	three_point_field_goals	three_point_field_goals_attempted	free_throws	free_throws_attempted	points	offensive_rebounds	defensive_rebounds	total_rebounds	assists	turnovers	steals	blocks	fouls
1531072	0	1426350	Barbulescu, Alexandru	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1426350	""	3	1/	 	4	5	 	 	 	 	1	 	 	 	 	 	 
1531072	0	1085166	Otsla, Briaen	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1085166	""	3	1/	4	9	16	 	1	1	2	 	1	 	 	 	5.0	 
1531072	0	1192565	Lodde, Eric	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1192565	""	3	 	 	 	1	 	1	 	 	4	2	 	 	 	 	 
1531072	0	1426336	Ng, Matthew	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1426336	""	3	1/	6	1	14	 	1	1	 	1	3	 	 	 	7.0	 
1531072	0	1426348	Jinad, Moshood	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1426348	""	3	1/	6	1	10	 	 	 	1	1	 	 	 	 	6.0	 
1531072	0	1317113	Hot, Nino	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1317113	""	3	1/	3	6	12	 	 	 	1	 	2	 	 	 	3.0	 
1531072	0	1192566	Martinez, Stanley	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1192566	""	3	1/	2	 	3	 	17	1	2	3	 	1	 	 	4.0	 
1531072	0		TEAM		""	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1531072	0		Totals		""	3	 	21	21	61	 	20	3	6	10	8	1	 	 	25.0	 
1531072	0		Total Team Blocks: 1.0	
1531072	1	1191608	O'Connor, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1191608	""	3	1/	4	2	7	 	 	1	4	 	 	 	2	1	6.0	 
1531072	1	1191607	Smith, Brian	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1191607	""	3	1/	3	4	11	 	1	 	1	2	1	 	 	 	3.0	1
1531072	1	1424574	Smith, Christian	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1424574	""	3	1/	6	 	7	 	16	4	1	2	 	 	1	1	10.5	 
1531072	1	1424571	Husmann, Christopher	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1424571	""	3	1/	3	1	7	 	 	1	2	1	 	 	1	1	4.5	 
1531072	1	1424576	Lutjen, John	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1424576	""	3	1/	4	 	6	 	11	 	2	3	 	1	2	1	6.0	 
1531072	1	1424572	Ferriter, Tim	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1424572	""	3	1/	10	 	12	 	 	2	2	3	 	 	 	 	12.0	 
1531072	1	1191610	Tuminelli, Victor	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1191610	""	3	 	 	 	1	 	2	 	 	3	2	 	 	 	 	 
1531072	1	1191606	Rabidoux, Dylan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1191606	""	2	 	2	 	2	1.000	 	 	 	 	 	 	 	 	2.0	 
1531072	1	1191605	Garo, Misa	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1191605	""	2	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 
1531072	1	1299549	Weber, Bryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1299549	""	1	 	3	 	3	1.000	 	 	 	1	 	 	 	 	3.0	 
1531072	1	1424570	Lilley, Chris	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1424570	""	1	 	1	 	1	1.000	 	 	 	 	 	 	 	 	1.0	 
1531072	1	1299548	Nardiello, Danny	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1299548	""	1	 	1	 	1	1.000	 	 	1	 	 	 	 	 	1.0	 
1531072	1	1424569	Nardone, Kevin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1424569	""	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1531072	1	1424577	Honey, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1424577	""	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1531072	1		TEAM		""	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
1531072	1		Totals		""	3	 	37	7	58	 	35	8	13	15	3	1	6	4	49.0	1
1531072	1		Total Team Blocks: 4.0	
1531176	0	1191462	Williams, Billy	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1191462	""	3	1/	4	6	21	 	 	 	 	3	1	 	 	 	4.0	 
1531176	0	1422089	Lazaridis Giannopoulos, Damianos	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1422089	""	3	1/	3	1	7	 	 	 	 	2	 	1	2	2	5.0	 
1531176	0	1422086	Gagne, Daniel	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1422086	""	3	 	 	 	 	 	 	 	 	6	5	 	 	 	 	 
1531176	0	1191459	Kasiske, Henry	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1191459	""	3	1/	 	2	5	 	14	 	4	5	 	 	 	1	 	 
1531176	0	1422090	Small, Jesse	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1422090	""	3	1/	3	3	13	 	 	 	1	3	 	 	2	 	4.0	 
1531176	0	1422087	Mendez, Jose	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1422087	""	3	 	 	 	1	 	 	 	 	 	2	 	 	 	 	 
1531176	0	1422085	Bernier-Chen, Kai	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1422085	""	3	1/	2	4	15	 	 	 	3	4	1	 	 	 	2.0	 
1531176	0	1422088	Nussdorf, Zack	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1422088	""	3	1/	4	1	13	 	 	 	1	1	 	 	 	 	4.0	 
1531176	0		TEAM		""	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 
1531176	0		Totals		""	3	 	16	17	75	 	14	 	9	24	10	1	4	3	19.0	 
1531176	0		Total Team Blocks: 3.0	
1531176	1	1427291	Fishman, Andy	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1427291	""	3	1/	17	3	27	 	1	7	3	5	 	 	 	 	24.0	 
1531176	1	1191863	Gransbury, Cory	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1191863	""	3	 	 	 	 	 	1	 	 	10	 	 	 	 	 	 
1531176	1	1315570	Kramer, Ryan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1315570	""	3	1/	6	1	9	 	1	1	1	2	 	 	1	 	7.5	 
1531176	1	1315568	Krowicki, Dylan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1315568	""	3	1/	10	3	18	 	 	1	3	9	 	1	1	 	12.5	 
1531176	1	1427292	Pruiksma, Justin	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1427292	""	3	1/	1	4	13	 	1	 	1	6	 	 	 	1	1.0	 
1531176	1	1083724	Ray, Kyle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11360&stats_player_seq=1083724	""	3	1/	1	 	1	1.000	33	1	1	4	 	 	 	 	2.0	2
