game_id	section_id	player_id	player_name	player_url	position	minutes_played	field_goals_made	field_goals_attempted	three_point_field_goals	three_point_field_goals_attempted	free_throws	free_throws_attempted	points	offensive_rebounds	defensive_rebounds	total_rebounds	assists	turnovers	steals	blocks	fouls
3980811	0	1753915	Powell, Christopher	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1753915	""	3	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 
3980811	0	1650917	Quinn, Clarence	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1650917	""	3	1	 	3	6	-0.500	 	 	 	1	 	 	 	 	 	 
3980811	0	1753916	Pierre, Gino	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1753916	""	3	1	1	5	10	-0.400	 	 	2	1	11	 	 	 	1.0	 
3980811	0	1753921	McKinley, Jadarrius	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1753921	""	3	1	 	3	4	-0.750	 	 	1	1	4	 	 	 	 	 
3980811	0	1652254	Crosby, Jamarcus	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1652254	""	3	1	 	 	 	 	1	 	 	 	4	 	 	 	 	3
3980811	0	1753917	Silas, Zicais	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1753917	""	3	1	 	1	1	-1.000	 	 	 	 	 	 	 	 	 	 
3980811	0	1753919	Fartheree, Kelone	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1753919	""	2	 	 	 	 	 	 	 	 	 	5	 	 	 	 	 
3980811	0	1753918	Haediman, Nakeveon	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1753918	""	2	1	 	1	3	-0.333	 	 	 	 	 	 	 	 	 	 
3980811	0	1753920	McBride, Markel	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1753920	""	1	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 
3980811	0		TEAM		""	2	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 
3980811	0		Totals		""	3	 	1	13	25	-0.480	1	 	4	3	29	 	 	 	1.0	3
3980811	0		Total Team Blocks: 0.0	
3980811	1	1649100	Parsons, Colton	http://stats.ncaa.org/player?game_sport_year_ctl_id=12382&stats_player_seq=1649100	""	3	1	4	 	4	1.000	3	 	1	 	 	 	 	 	4.0	 
