year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12582	1059	D'Youville	-	Opponent Totals	-	-	-	-	38	""	377	191	981	0.190	337	55	114	396	67	26	55	49	11	485.5	15
2017	12582	1332	Dominican (IL)	-	TEAM	-	-	-	-	10	""	""	""	""	""	2	""	""	1	1	""	""	""	""	""	""
2017	12582	1332	Dominican (IL)	-	Totals	-	-	-	-	43	""	552	200	1,214	0.290	502	62	166	405	36	23	181	9	13	727.5	9
2017	12582	1332	Dominican (IL)	-	Opponent Totals	-	-	-	-	43	""	426	257	1,182	0.143	395	36	139	374	62	32	87	15	13	537.5	16
2017	12582	203	East. Mennonite	-	TEAM	-	-	-	-	12	""	""	""	""	""	""	""	""	""	10	""	""	""	""	""	""
2017	12582	203	East. Mennonite	-	Totals	-	-	-	-	60	""	703	355	1,681	0.207	670	64	153	640	61	40	191	51	16	902.5	24
2017	12582	203	East. Mennonite	-	Opponent Totals	-	-	-	-	60	""	631	361	1,744	0.155	584	61	204	514	64	24	195	39	16	813.5	26
2017	12582	1064	Eastern Nazarene	-	TEAM	-	-	-	-	1	""	""	""	""	""	""	""	""	""	1	""	""	""	""	""	""
2017	12582	1064	Eastern Nazarene	-	Totals	-	-	-	-	24	""	218	139	664	0.119	203	63	108	217	28	6	10	7	7	292.0	5
2017	12582	1064	Eastern Nazarene	-	Opponent Totals	-	-	-	-	24	""	184	108	529	0.144	171	28	67	259	63	7	66	3	5	252.0	4
2017	12582	213	Elmira	-	TEAM	-	-	-	-	21	1	""	""	""	""	""	""	""	""	20	""	""	""	""	""	""
2017	12582	213	Elmira	-	Totals	-	-	-	-	80	""	849	411	2,197	0.199	778	122	308	713	144	41	187	42	22	1,105.5	27
2017	12582	213	Elmira	-	Opponent Totals	-	-	-	-	80	""	910	358	2,002	0.276	826	144	281	753	122	50	201	54	20	1,204.5	19
2017	12582	532	Elms	-	TEAM	-	-	-	-	16	""	""	""	""	""	""	""	""	""	8	""	""	""	""	""	""
2017	12582	532	Elms	-	Totals	-	-	-	-	53	""	542	274	1,459	0.184	495	84	196	573	79	33	66	37	15	692.0	13
2017	12582	532	Elms	-	Opponent Totals	-	-	-	-	53	""	535	270	1,406	0.188	492	79	207	495	84	23	129	50	16	701.5	27
2017	12582	214	Emerson	-	TEAM	-	-	-	-	5	""	""	""	1	""	""	""	""	""	3	""	""	""	""	""	""
2017	12582	214	Emerson	-	Totals	-	-	-	-	40	""	407	224	1,079	0.170	374	106	144	363	39	12	85	7	12	567.5	10
2017	12582	214	Emerson	-	Opponent Totals	-	-	-	-	40	""	304	177	886	0.143	285	39	110	392	106	11	74	9	8	391.0	15
2017	12582	215	Emmanuel (MA)	-	TEAM	-	-	-	-	19	""	1	""	2	""	""	""	""	""	15	""	""	""	""	1.0	""
2017	12582	215	Emmanuel (MA)	-	Totals	-	-	-	-	48	""	459	255	1,301	0.157	423	90	206	414	71	8	119	32	15	616.5	24
2017	12582	215	Emmanuel (MA)	-	Opponent Totals	-	-	-	-	48	""	513	227	1,241	0.230	462	71	152	509	88	16	96	19	14	648.0	19
2017	12582	8981	Endicott	-	TEAM	-	-	-	-	13	""	""	""	""	""	""	""	""	""	19	""	""	""	""	""	""
2017	12582	8981	Endicott	-	Totals	-	-	-	-	59	""	675	315	1,603	0.225	611	82	172	569	56	30	156	30	17	865.0	10
2017	12582	8981	Endicott	-	Opponent Totals	-	-	-	-	59	""	606	302	1,590	0.191	572	56	187	531	82	32	143	21	15	765.5	13
2017	12582	11538	Fontbonne	-	TEAM	-	-	-	-	11	""	""	""	""	""	""	""	""	""	11	""	""	""	""	""	""
2017	12582	11538	Fontbonne	-	Totals	-	-	-	-	60	""	669	319	1,835	0.191	620	67	127	709	80	31	160	16	16	847.0	21
2017	12582	11538	Fontbonne	-	Opponent Totals	-	-	-	-	60	""	771	344	1,944	0.220	721	81	227	729	67	27	156	18	16	957.0	24
2017	12582	1111	Greenville	-	TEAM	-	-	-	-	18	""	""	""	""	""	""	""	""	""	21	""	""	""	""	""	""
2017	12582	1111	Greenville	-	Totals	-	-	-	-	47	""	507	273	1,325	0.177	470	44	145	457	83	32	123	25	12	644.5	7
2017	12582	1111	Greenville	-	Opponent Totals	-	-	-	-	47	""	592	256	1,367	0.246	549	83	157	446	44	23	172	15	12	784.0	9
2017	12582	8398	Hilbert	-	TEAM	-	-	-	-	10	""	""	""	""	""	""	""	""	""	10	""	""	""	""	""	""
2017	12582	8398	Hilbert	-	Totals	-	-	-	-	32	""	213	235	833	-0.026	197	24	81	283	78	10	25	17	9	259.5	18
2017	12582	8398	Hilbert	-	Opponent Totals	-	-	-	-	32	""	344	131	818	0.260	315	78	110	346	24	18	64	15	10	472.0	7
2017	12582	292	Hunter	-	TEAM	-	-	-	-	12	""	""	""	""	""	""	""	""	""	11	""	""	""	""	""	""
2017	12582	292	Hunter	-	Totals	-	-	-	-	53	""	664	236	1,522	0.281	624	78	152	574	47	10	142	21	16	823.0	12
2017	12582	292	Hunter	-	Opponent Totals	-	-	-	-	53	""	496	334	1,503	0.108	474	49	142	526	74	19	121	34	14	624.5	34
2017	12582	30172	IIT	-	TEAM	-	-	-	-	10	""	""	""	""	""	""	""	""	""	11	""	""	""	""	""	""
2017	12582	30172	IIT	-	Totals	-	-	-	-	67	""	683	436	2,028	0.122	649	68	238	754	108	28	111	23	19	834.5	18
2017	12582	30172	IIT	-	Opponent Totals	-	-	-	-	67	""	717	326	1,916	0.204	667	108	214	752	68	44	212	28	19	975.0	13
2017	12582	321	John Jay	-	TEAM	-	-	-	-	17	""	""	""	""	""	""	""	""	""	10	""	""	""	""	""	""
2017	12582	321	John Jay	-	Totals	-	-	-	-	53	""	447	276	1,298	0.132	401	138	219	497	71	26	61	27	16	641.5	53
2017	12582	321	John Jay	-	Opponent Totals	-	-	-	-	53	""	409	236	1,182	0.146	372	71	167	510	133	15	86	35	11	538.0	52
2017	12582	22626	Johnson & Wales (RI)	-	TEAM	-	-	-	-	9	""	""	""	""	""	""	""	1	""	8	""	""	""	""	""	""
2017	12582	22626	Johnson & Wales (RI)	-	Totals	-	-	-	-	73	""	771	342	1,973	0.217	719	101	222	681	82	34	191	34	20	1,001.5	22
2017	12582	22626	Johnson & Wales (RI)	-	Opponent Totals	-	-	-	-	73	""	816	406	2,039	0.201	770	82	236	737	101	27	118	24	19	984.0	15
2017	12582	325	Juniata	-	TEAM	-	-	-	-	8	""	""	""	""	""	""	""	""	""	7	""	""	""	""	""	""
2017	12582	325	Juniata	-	Totals	-	-	-	-	54	""	621	243	1,375	0.275	581	75	194	462	78	27	152	33	15	799.0	14
2017	12582	325	Juniata	-	Opponent Totals	-	-	-	-	54	""	592	314	1,467	0.190	542	78	186	429	75	30	100	17	15	750.0	21
2017	12582	329	Kean	-	TEAM	-	-	-	-	22	""	""	""	""	""	""	""	""	""	22	""	""	""	""	""	""
2017	12582	329	Kean	-	Totals	-	-	-	-	65	""	739	344	1,738	0.227	693	122	277	576	86	46	188	33	18	1,001.0	26
2017	12582	329	Kean	-	Opponent Totals	-	-	-	-	65	""	641	329	1,636	0.191	613	86	232	564	123	35	150	35	18	837.0	21
2017	12582	1159	Keuka	-	TEAM	-	-	-	-	8	""	""	""	""	""	""	""	""	""	3	""	""	""	""	""	""
2017	12582	1159	Keuka	-	Totals	-	-	-	-	21	""	204	119	654	0.130	195	13	69	190	29	12	50	18	6	254.0	9
2017	12582	1159	Keuka	-	Opponent Totals	-	-	-	-	21	""	238	123	675	0.170	211	29	79	296	13	15	45	17	6	304.5	18
2017	12582	1164	Lakeland	-	TEAM	-	-	-	-	16	""	""	""	4	""	""	""	""	""	12	""	""	""	""	""	""
2017	12582	1164	Lakeland	-	Totals	-	-	-	-	49	""	531	221	1,405	0.221	476	53	155	559	59	32	165	33	14	698.5	10
2017	12582	1164	Lakeland	-	Opponent Totals	-	-	-	-	49	""	586	313	1,558	0.175	548	59	155	580	53	27	117	23	14	730.5	13
2017	12582	30085	Lancaster Bible	-	TEAM	-	-	-	-	24	""	""	""	""	""	""	""	""	""	14	""	""	""	""	""	""
2017	12582	30085	Lancaster Bible	-	Totals	-	-	-	-	68	""	721	331	1,827	0.213	649	112	252	691	56	49	165	68	20	964.5	19
2017	12582	30085	Lancaster Bible	-	Opponent Totals	-	-	-	-	68	""	631	395	1,848	0.128	585	56	222	695	108	41	155	56	19	805.5	51
2017	12582	8486	Lasell	-	TEAM	-	-	-	-	13	""	1	""	2	""	""	""	""	""	14	""	""	""	""	1.0	""
2017	12582	8486	Lasell	-	Totals	-	-	-	-	53	""	670	248	1,455	0.290	636	103	217	496	43	45	113	28	16	874.5	11
2017	12582	8486	Lasell	-	Opponent Totals	-	-	-	-	53	""	465	302	1,346	0.121	443	43	154	451	101	21	116	11	16	587.0	14
2017	12582	279	Lehman	-	TEAM	-	-	-	-	14	""	""	""	""	""	""	""	""	""	8	""	""	""	""	""	""
2017	12582	279	Lehman	-	Totals	-	-	-	-	45	""	441	214	1,237	0.184	411	105	135	533	66	26	71	12	13	607.5	6
2017	12582	279	Lehman	-	Opponent Totals	-	-	-	-	45	""	397	242	1,241	0.125	354	63	146	481	93	25	65	24	10	517.5	18
2017	12582	24317	Lesley	-	TEAM	-	-	-	-	14	""	""	""	""	""	""	""	1	""	11	""	""	""	""	""	""
2017	12582	24317	Lesley	-	Totals	-	-	-	-	37	""	122	168	679	-0.068	107	45	87	235	222	11	17	10	5	186.5	9
2017	12582	24317	Lesley	-	Opponent Totals	-	-	-	-	37	""	388	148	828	0.290	347	224	105	355	45	12	50	4	12	649.0	14
2017	12582	364	Loras	-	TEAM	-	-	-	-	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12582	364	Loras	-	Totals	-	-	-	-	49	""	531	295	1,447	0.163	496	70	194	485	43	26	137	9	13	695.5	20
2017	12582	364	Loras	-	Opponent Totals	-	-	-	-	49	""	537	264	1,376	0.198	501	43	159	542	70	41	123	19	13	682.5	19
2017	12582	398	MIT	-	TEAM	-	-	-	-	19	""	""	""	""	""	""	""	""	""	18	""	""	""	""	""	""
2017	12582	398	MIT	-	Totals	-	-	-	-	73	""	906	353	2,029	0.273	845	117	233	786	54	35	185	28	20	1,150.5	26
2017	12582	398	MIT	-	Opponent Totals	-	-	-	-	73	""	672	407	1,988	0.133	609	55	219	646	117	30	227	41	19	870.5	30
2017	12582	20220	MSOE	-	TEAM	-	-	-	-	4	""	""	""	""	""	""	""	""	""	2	""	""	""	""	""	""
2017	12582	20220	MSOE	-	Totals	-	-	-	-	42	""	571	237	1,384	0.241	532	80	191	509	32	16	140	7	11	737.0	9
2017	12582	20220	MSOE	-	Opponent Totals	-	-	-	-	42	""	379	219	1,199	0.133	358	32	104	479	80	32	107	15	11	496.5	3
2017	12582	1196	Marian (WI)	-	TEAM	-	-	-	-	12	""	""	""	""	""	""	""	""	""	13	""	""	""	""	""	""
2017	12582	1196	Marian (WI)	-	Totals	-	-	-	-	62	""	750	404	1,917	0.180	700	58	207	665	60	32	147	40	15	913.5	17
2017	12582	1196	Marian (WI)	-	Opponent Totals	-	-	-	-	62	""	719	314	1,799	0.225	675	60	202	627	58	32	239	29	15	930.5	16
2017	12582	394	Marymount (VA)	-	TEAM	-	-	-	-	12	""	""	""	""	""	""	""	""	""	11	""	""	""	""	""	""
2017	12582	394	Marymount (VA)	-	Totals	-	-	-	-	52	""	635	264	1,419	0.261	596	66	221	483	65	35	180	19	13	826.0	22
2017	12582	394	Marymount (VA)	-	Opponent Totals	-	-	-	-	52	""	546	300	1,431	0.172	512	65	197	447	65	24	123	13	13	696.5	13
2017	12582	23725	Medaille	-	TEAM	-	-	-	-	6	""	""	""	""	""	""	""	""	""	5	""	""	""	""	""	""
2017	12582	23725	Medaille	-	Totals	-	-	-	-	49	""	546	308	1,367	0.174	495	46	214	374	62	28	90	24	12	665.0	15
2017	12582	23725	Medaille	-	Opponent Totals	-	-	-	-	49	""	492	245	1,213	0.204	455	62	144	419	45	31	116	32	13	643.0	23
2017	12582	403	Medgar Evers	-	TEAM	-	-	-	-	9	""	""	""	""	""	""	""	""	""	17	""	""	""	""	""	""
2017	12582	403	Medgar Evers	-	Totals	-	-	-	-	39	""	103	164	637	-0.096	101	31	82	394	179	13	17	40	4	155.5	101
2017	12582	403	Medgar Evers	-	Opponent Totals	-	-	-	-	39	""	335	117	737	0.296	281	183	103	449	29	17	22	25	12	546.0	31
2017	12582	27901	Mount Ida	-	TEAM	-	-	-	-	6	""	""	""	""	""	""	""	""	""	6	""	""	""	""	""	""
2017	12582	27901	Mount Ida	-	Totals	-	-	-	-	52	""	499	279	1,293	0.170	451	162	173	479	53	9	66	22	16	703.0	38
2017	12582	27901	Mount Ida	-	Opponent Totals	-	-	-	-	52	""	422	245	1,196	0.148	388	53	172	433	162	27	99	31	12	551.5	20
2017	12582	8567	Mt. St. Joseph	-	TEAM	-	-	-	-	10	""	""	""	""	""	""	""	""	""	4	""	""	""	""	""	""
2017	12582	8567	Mt. St. Joseph	-	Totals	-	-	-	-	49	""	616	272	1,455	0.236	568	55	146	568	37	39	142	16	13	781.0	9
2017	12582	8567	Mt. St. Joseph	-	Opponent Totals	-	-	-	-	49	""	526	285	1,490	0.162	487	37	151	484	54	31	113	13	13	650.5	14
2017	12582	451	Mt. St. Vincent	-	TEAM	-	-	-	-	15	""	""	""	""	""	""	""	""	""	17	""	""	""	""	""	""
2017	12582	451	Mt. St. Vincent	-	Totals	-	-	-	-	51	""	530	295	1,444	0.163	499	59	145	543	96	18	75	16	14	644.5	21
2017	12582	451	Mt. St. Vincent	-	Opponent Totals	-	-	-	-	51	""	609	280	1,517	0.217	564	96	194	525	59	20	177	10	14	813.5	23
2017	12582	479	NYU	-	TEAM	-	-	-	-	14	""	""	""	""	""	""	""	""	""	12	""	""	""	""	""	""
2017	12582	479	NYU	-	Totals	-	-	-	-	49	""	539	234	1,191	0.256	492	69	221	341	80	32	120	25	13	700.0	29
2017	12582	479	NYU	-	Opponent Totals	-	-	-	-	49	""	473	227	1,127	0.218	434	80	186	306	69	31	115	32	13	641.5	15
2017	12582	461	Nazareth	-	TEAM	-	-	-	-	21	""	""	""	10	""	""	""	""	""	7	""	""	""	""	""	""
2017	12582	461	Nazareth	-	Totals	-	-	-	-	79	""	922	397	2,096	0.250	852	104	304	639	78	37	222	36	21	1,174.0	11
2017	12582	461	Nazareth	-	Opponent Totals	-	-	-	-	79	""	797	441	2,070	0.172	740	78	262	673	104	56	162	65	20	1,012.0	25
2017	12582	319	New Jersey City	-	TEAM	-	-	-	-	17	""	""	""	""	""	""	""	""	""	12	""	""	""	""	""	""
2017	12582	319	New Jersey City	-	Totals	-	-	-	-	50	""	473	326	1,303	0.113	445	88	130	483	86	23	82	22	15	625.0	7
2017	12582	319	New Jersey City	-	Opponent Totals	-	-	-	-	50	""	488	257	1,320	0.175	444	86	181	418	88	26	110	13	13	655.0	20
2017	12582	21772	Newbury	-	TEAM	-	-	-	-	9	""	""	""	""	""	""	""	""	""	8	""	""	""	""	""	""
2017	12582	21772	Newbury	-	Totals	-	-	-	-	34	""	233	166	762	0.088	217	61	90	308	85	7	40	8	9	321.0	14
2017	12582	21772	Newbury	-	Opponent Totals	-	-	-	-	34	""	355	159	839	0.234	317	85	135	337	61	9	55	11	9	476.5	8
