year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	exempt	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2017	12582	934	Alderson Broaddus	01/13/2017	@ Barton		Barton	http://stats.ncaa.org/team/15646/12582	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4270869	http://stats.ncaa.org/game/index/4270869?org_id=15646
2017	12582	934	Alderson Broaddus	01/14/2017	@ Lincoln Memorial		Lincoln Memorial	http://stats.ncaa.org/team/1176/12582	false		false	L 2 - 3	false	2 - 3	false	2	3	false		4269696	http://stats.ncaa.org/game/index/4269696?org_id=1176
2017	12582	934	Alderson Broaddus	01/20/2017	Lees-McRae		Lees-McRae	http://stats.ncaa.org/team/13302/12582	false		true	L 0 - 3	false	0 - 3	false	0	3	false		4272880	http://stats.ncaa.org/game/index/4272880?org_id=934
2017	12582	934	Alderson Broaddus	01/22/2017	Fort Wayne		Fort Wayne	http://stats.ncaa.org/team/308/12582	false		true	L 0 - 3	false	0 - 3	false	0	3	false		4274205	http://stats.ncaa.org/game/index/4274205?org_id=934
2017	12582	934	Alderson Broaddus	01/28/2017	McKendree		McKendree	http://stats.ncaa.org/team/30138/12582	false		true	L 1 - 3	false	1 - 3	false	1	3	false		4277444	http://stats.ncaa.org/game/index/4277444?org_id=934
2017	12582	934	Alderson Broaddus	02/02/2017	@ Sacred Heart		Sacred Heart	http://stats.ncaa.org/team/590/12582	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4279904	http://stats.ncaa.org/game/index/4279904?org_id=590
2017	12582	934	Alderson Broaddus	02/03/2017	@ Sacred Heart		Sacred Heart	http://stats.ncaa.org/team/590/12582	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4280038	http://stats.ncaa.org/game/index/4280038?org_id=590
2017	12582	934	Alderson Broaddus	02/04/2017	@ Harvard		Harvard	http://stats.ncaa.org/team/275/12582	false		false	L 1 - 3	false	1 - 3	false	1	3	false		4286205	http://stats.ncaa.org/game/index/4286205?org_id=275
2017	12582	934	Alderson Broaddus	02/05/2017	St. Joseph's (L.I.) @ New Paltz, NY		St. Joseph's (L.I.)	http://stats.ncaa.org/team/1340/12582	true	New Paltz, NY	true	W 3 - 0	true	3 - 0	false	3	0	false		4281541	http://stats.ncaa.org/game/index/4281541?org_id=1340
2017	12582	934	Alderson Broaddus	02/05/2017	@ SUNY New Paltz		SUNY New Paltz	http://stats.ncaa.org/team/475/12582	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4281437	http://stats.ncaa.org/game/index/4281437?org_id=475
2017	12582	934	Alderson Broaddus	02/10/2017	Lincoln Memorial		Lincoln Memorial	http://stats.ncaa.org/team/1176/12582	false		true	W 3 - 1	true	3 - 1	false	3	1	false		4285030	http://stats.ncaa.org/game/index/4285030?org_id=934
2017	12582	934	Alderson Broaddus	02/11/2017	Coker		Coker	http://stats.ncaa.org/team/1023/12582	false		true	L 2 - 3	false	2 - 3	false	2	3	false		4286638	http://stats.ncaa.org/game/index/4286638?org_id=934
