year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	exempt	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2018	12825	934	Alderson Broaddus	01/12/2018	@ Saint Francis (PA)	12825	Saint Francis (PA)	http://stats.ncaa.org/team/600/12825	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4475341	http://stats.ncaa.org/game/index/4475341?org_id=600
2018	12825	934	Alderson Broaddus	01/13/2018	@ Penn St.	12825	Penn St.	http://stats.ncaa.org/team/539/12825	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4475342	http://stats.ncaa.org/game/index/4475342?org_id=539
2018	12825	934	Alderson Broaddus	01/18/2018	@ King (TN)	12825	King (TN)	http://stats.ncaa.org/team/30051/12825	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4476842	http://stats.ncaa.org/game/index/4476842?org_id=30051
2018	12825	934	Alderson Broaddus	01/19/2018	@ Lincoln Memorial	12825	Lincoln Memorial	http://stats.ncaa.org/team/1176/12825	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4477514	http://stats.ncaa.org/game/index/4477514?org_id=1176
2018	12825	934	Alderson Broaddus	01/20/2018	@ Lees-McRae	12825	Lees-McRae	http://stats.ncaa.org/team/13302/12825	false		false	W 3 - 2	true	3 - 2	false	3	2	false		4478474	http://stats.ncaa.org/game/index/4478474?org_id=13302
2018	12825	934	Alderson Broaddus	01/26/2018	@ North Greenville	12825	North Greenville	http://stats.ncaa.org/team/9223/12825	false		false	L 2 - 3	false	2 - 3	false	2	3	false		4481376	http://stats.ncaa.org/game/index/4481376?org_id=9223
2018	12825	934	Alderson Broaddus	01/27/2018	@ Limestone	12825	Limestone	http://stats.ncaa.org/team/1174/12825	false		false	L 1 - 3	false	1 - 3	false	1	3	false		4481686	http://stats.ncaa.org/game/index/4481686?org_id=1174
2018	12825	934	Alderson Broaddus	02/02/2018	Queens (NC)	12825	Queens (NC)	http://stats.ncaa.org/team/11504/12825	false		true	W 3 - 2	true	3 - 2	false	3	2	false		4485301	http://stats.ncaa.org/game/index/4485301?org_id=934
2018	12825	934	Alderson Broaddus	02/15/2018	@ Charleston (WV)	12825	Charleston (WV)	http://stats.ncaa.org/team/1013/12825	false		false	L 1 - 3	false	1 - 3	false	1	3	false		4495557	http://stats.ncaa.org/game/index/4495557?org_id=1013
2018	12825	934	Alderson Broaddus	02/16/2018	@ Erskine	12825	Erskine	http://stats.ncaa.org/team/1072/12825	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4496320	http://stats.ncaa.org/game/index/4496320?org_id=1072
2018	12825	934	Alderson Broaddus	02/17/2018	@ Emmanuel (GA)	12825	Emmanuel (GA)	http://stats.ncaa.org/team/30193/12825	false		false	L 2 - 3	false	2 - 3	false	2	3	false		4496862	http://stats.ncaa.org/game/index/4496862?org_id=30193
2018	12825	934	Alderson Broaddus	02/23/2018	@ Queens (NC)	12825	Queens (NC)	http://stats.ncaa.org/team/11504/12825	false		false	W 3 - 0	true	3 - 0	false	3	0	false		4503755	http://stats.ncaa.org/game/index/4503755?org_id=11504
2018	12825	934	Alderson Broaddus	02/23/2018	St. Andrews @ Charlotte, N.C.		St. Andrews		true	Charlotte, N.C.	false	L 0 - 3	false	0 - 3	false	0	3	false		4509299	http://stats.ncaa.org/game/index/4509299?org_id=934
2018	12825	934	Alderson Broaddus	02/24/2018	@ Belmont Abbey	12825	Belmont Abbey	http://stats.ncaa.org/team/2683/12825	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4504586	http://stats.ncaa.org/game/index/4504586?org_id=2683
2018	12825	934	Alderson Broaddus	03/02/2018	@ Purdue Fort Wayne	12825	Purdue Fort Wayne	http://stats.ncaa.org/team/308/12825	false		false	L 1 - 3	false	1 - 3	false	1	3	false		4515337	http://stats.ncaa.org/game/index/4515337?org_id=308
2018	12825	934	Alderson Broaddus	03/17/2018	@ Coker	12825	Coker	http://stats.ncaa.org/team/1023/12825	false		false	L 2 - 3	false	2 - 3	false	2	3	false		4529203	http://stats.ncaa.org/game/index/4529203?org_id=1023
2018	12825	934	Alderson Broaddus	03/22/2018	@ Sacred Heart	12825	Sacred Heart	http://stats.ncaa.org/team/590/12825	false		false	L 1 - 3	false	1 - 3	false	1	3	false		4534281	http://stats.ncaa.org/game/index/4534281?org_id=934
2018	12825	934	Alderson Broaddus	03/24/2018	@ Harvard	12825	Harvard	http://stats.ncaa.org/team/275/12825	false		false	L 0 - 3	false	0 - 3	false	0	3	false		4536268	http://stats.ncaa.org/game/index/4536268?org_id=275
2018	12825	934	Alderson Broaddus	03/30/2018	Lincoln Memorial	12825	Lincoln Memorial	http://stats.ncaa.org/team/1176/12825	false		true	L 0 - 3	false	0 - 3	false	0	3	false		4542110	http://stats.ncaa.org/game/index/4542110?org_id=934
2018	12825	934	Alderson Broaddus	03/31/2018	Coker	12825	Coker	http://stats.ncaa.org/team/1023/12825	false		true	L 1 - 3	false	1 - 3	false	1	3	false		4543251	http://stats.ncaa.org/game/index/4543251?org_id=934
2018	12825	934	Alderson Broaddus	04/03/2018	Charleston (WV)	12825	Charleston (WV)	http://stats.ncaa.org/team/1013/12825	false		true	L 0 - 3	false	0 - 3	false	0	3	false		4545610	http://stats.ncaa.org/game/index/4545610?org_id=934
2018	12825	934	Alderson Broaddus	04/12/2018	Sacred Heart	12825	Sacred Heart	http://stats.ncaa.org/team/590/12825	false		true	L 0 - 3	false	0 - 3	false	0	3	false		4555067	http://stats.ncaa.org/game/index/4555067?org_id=934
2018	12825	934	Alderson Broaddus	04/13/2018	Coker	12825	Coker	http://stats.ncaa.org/team/1023/12825	false		true	L 2 - 3	false	2 - 3	false	2	3	false		4558093	http://stats.ncaa.org/game/index/4558093?org_id=1023
2018	12825	934	Alderson Broaddus	04/14/2018	Queens (NC)	12825	Queens (NC)	http://stats.ncaa.org/team/11504/12825	false		true	W 3 - 0	true	3 - 0	false	3	0	false		4556511	http://stats.ncaa.org/game/index/4556511?org_id=934
2018	12825	77	BYU	01/05/2018	Loyola Chicago	12825	Loyola Chicago	http://stats.ncaa.org/team/371/12825	false		true	L 2 - 3	false	2 - 3	false	2	3	false		4471817	http://stats.ncaa.org/game/index/4471817?org_id=77
2018	12825	77	BYU	01/06/2018	Lewis	12825	Lewis	http://stats.ncaa.org/team/354/12825	false		true	W 3 - 1	true	3 - 1	false	3	1	false		4471393	http://stats.ncaa.org/game/index/4471393?org_id=77
2018	12825	77	BYU	01/12/2018	@ Ball St.	12825	Ball St.	http://stats.ncaa.org/team/47/12825	false		false	W 3 - 1	true	3 - 1	false	3	1	false		4473518	http://stats.ncaa.org/game/index/4473518?org_id=47
2018	12825	77	BYU	01/13/2018	@ Ohio St.	12825	Ohio St.	http://stats.ncaa.org/team/518/12825	false		false	W 3 - 2	true	3 - 2	false	3	2	false		4474663	http://stats.ncaa.org/game/index/4474663?org_id=518
2018	12825	77	BYU	01/19/2018	Barton	12825	Barton	http://stats.ncaa.org/team/15646/12825	false		true	W 3 - 0	true	3 - 0	false	3	0	false		4477421	http://stats.ncaa.org/game/index/4477421?org_id=15646
2018	12825	77	BYU	01/20/2018	Barton	12825	Barton	http://stats.ncaa.org/team/15646/12825	false		true	W 3 - 0	true	3 - 0	false	3	0	false		4478615	http://stats.ncaa.org/game/index/4478615?org_id=15646
