year	year_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12582	2798	Albertus Magnus	10	1884672	Pollock, Daniel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1884672	N/A	-	17	0	17	""	1	""	2	""	""	""	""	6	8	""	1	""	""	1.5	""
2017	12582	2798	Albertus Magnus	2	1644629	Stoll, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1644629	Jr	5-10	12	0	12	4	4	5	18	-0.056	1	""	6	15	7	""	1	""	""	4.5	""
2017	12582	2798	Albertus Magnus	9	1896573	Nieves, Jorge	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1896573	N/A	-	4	0	4	""	1	""	1	""	""	""	""	2	""	""	""	""	""	1.0	""
2017	12582	2798	Albertus Magnus	11	1896572	Caldwell, Dayron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1896572	N/A	-	3	0	3	1	""	1	1	""	""	""	1	""	1	""	""	""	""	""	""
2017	12582	938	Alvernia	2	1875289	Lunati, Ralph	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875289	Fr	6-1	94	0	94	26	242	153	647	0.138	13	33	67	135	4	4	35	10	""	296.5	2
2017	12582	938	Alvernia	14	1875301	Matthews, Spencer	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875301	Fr	6-3	91	0	91	26	184	128	528	0.106	7	16	52	104	21	1	28	6	""	215.0	""
2017	12582	938	Alvernia	5	1875292	Dadson, Anthony	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875292	So	6-5	86	0	86	24	130	47	309	0.269	2	3	13	22	1	11	45	13	""	166.5	1
2017	12582	938	Alvernia	10	1875297	Thomas, Myles	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875297	Fr	6-0	83	0	83	17	82	51	262	0.118	2	10	33	28	2	3	37	6	""	113.5	""
2017	12582	938	Alvernia	12	1875299	Ruth, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875299	Fr	5-9	76	0	76	1	5	2	10	0.300	29	""	7	145	19	""	""	""	""	5.0	2
2017	12582	938	Alvernia	6	1875293	Saloum, Charlie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875293	Fr	5-6	73	0	73	1	1	2	7	-0.143	21	1	2	147	18	""	""	""	""	2.0	1
2017	12582	938	Alvernia	11	1875298	Gibbs, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875298	Jr	5-10	61	0	61	16	31	17	93	0.151	480	9	32	97	""	3	24	10	""	55.0	31
2017	12582	938	Alvernia	7	1875294	Sterkenburg, Mitchell	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875294	Fr	5-10	59	0	59	4	32	21	93	0.118	3	8	7	42	7	1	4	""	""	43.0	""
2017	12582	938	Alvernia	3	1875290	Welteroth, Collin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875290	Fr	6-2	57	0	57	16	159	101	442	0.131	14	16	48	83	14	2	12	1	""	183.0	""
2017	12582	938	Alvernia	13	1875300	Shovlin, Brendan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12582&stats_player_seq=1875300	So	6-6	48	0	48	10	60	27	152	0.217	2	3	16	12	3	3	28	1	""	80.0	""
