rd,name,p
3,Long Beach St.,0.829
3,UCLA,0.679
3,BYU,0.321
3,Ohio St.,0.171
4,Long Beach St.,0.605
4,UCLA,0.258
4,BYU,0.074
4,Ohio St.,0.064
