      team_name       | avg_height 
----------------------+------------
 Duke                 |       73.3
 California           |       73.0
 Penn St.             |       72.8
 Tennessee            |       72.8
 Oregon St.           |       72.8
 Virginia Tech        |       72.8
 Baylor               |       72.7
 Wisconsin            |       72.3
 Harvard              |       72.3
 UCLA                 |       72.3
 Colorado             |       72.2
 Wake Forest          |       72.2
 Utah                 |       72.1
 Louisville           |       72.0
 Dayton               |       72.0
 West Virginia        |       72.0
 Minnesota            |       71.9
 Purdue               |       71.9
 Washington St.       |       71.9
 Georgia Tech         |       71.9
 Michigan St.         |       71.9
 Auburn               |       71.8
 Gonzaga              |       71.8
 San Diego            |       71.8
 Arkansas             |       71.8
 Seton Hall           |       71.8
 Dartmouth            |       71.8
 Kentucky             |       71.8
 South Dakota St.     |       71.7
 Vanderbilt           |       71.7
 Stanford             |       71.7
 St. Mary's (CA)      |       71.6
 Maryland             |       71.6
 Marquette            |       71.6
 Northwestern         |       71.6
 Arizona              |       71.6
 Iowa                 |       71.6
 North Carolina       |       71.6
 St. John's (NY)      |       71.6
 Central Mich.        |       71.6
 Princeton            |       71.5
 Toledo               |       71.5
 Providence           |       71.5
 Washington           |       71.5
 Ill.-Chicago         |       71.5
 East Carolina        |       71.5
 Texas Tech           |       71.5
 Cincinnati           |       71.5
 IUPUI                |       71.5
 Utah St.             |       71.5
 Florida A&M          |       71.4
 Ohio St.             |       71.4
 Notre Dame           |       71.4
 Richmond             |       71.4
 Davidson             |       71.3
 Denver               |       71.3
 Delaware             |       71.3
 Virginia             |       71.3
 Southern California  |       71.3
 South Carolina       |       71.3
 Boston College       |       71.2
 Utah Valley          |       71.2
 Old Dominion         |       71.2
 Nevada               |       71.2
 Saint Louis          |       71.2
 Alabama              |       71.2
 Kansas St.           |       71.2
 Georgetown           |       71.2
 La Salle             |       71.2
 Miami (OH)           |       71.2
 Syracuse             |       71.2
 UConn                |       71.2
 Idaho                |       71.2
 LSU                  |       71.2
 Nebraska             |       71.1
