date,site,home,hd,away,vd,w3,w4,w5,l3,l4,l5,win,lose,e_ws,e_ls
2015-05-05,neutral,Hawaii,D1,Penn St.,D1,0.262,0.283,0.204,0.047,0.090,0.115,0.749,0.251,2.567,1.443
2015-05-05,neutral,Loyola Chicago,D1,Pfeiffer,D1,0.861,0.126,0.012,0.000,0.000,0.001,0.999,0.001,2.998,0.153
